sample_id,n_layers,first_G_positive,first_M_positive,persistent_M_positive,M_reversal_after_first_positive,covers_all_indices_0_to_max,pair_id
pair_11_05,25,0,21,21,False,True,pair_11
pair_11_06,25,7,12,12,False,True,pair_11
pair_11_07,25,11,12,12,False,True,pair_11
pair_11_08,25,7,14,14,False,True,pair_11
pair_11_09,25,7,12,12,False,True,pair_11
pair_11_10,25,5,11,11,False,True,pair_11
pair_11_11,25,4,13,13,False,True,pair_11
pair_11_12,25,8,13,13,False,True,pair_11
pair_11_13,25,7,13,13,False,True,pair_11
pair_11_14,25,2,13,13,False,True,pair_11
pair_11_15,25,8,16,16,False,True,pair_11
pair_12_00,25,11,14,14,False,True,pair_12
pair_12_01,25,0,15,15,False,True,pair_12
pair_12_02,25,5,15,15,False,True,pair_12
pair_12_03,25,9,14,14,False,True,pair_12
pair_12_04,25,0,17,17,False,True,pair_12
pair_12_05,25,0,16,16,False,True,pair_12
pair_12_06,25,9,14,14,False,True,pair_12
pair_12_07,25,9,17,17,False,True,pair_12
pair_12_08,25,9,12,12,False,True,pair_12
pair_12_09,25,8,14,14,False,True,pair_12
pair_12_10,25,7,14,14,False,True,pair_12
pair_12_11,25,9,15,15,False,True,pair_12
pair_12_12,25,7,12,12,False,True,pair_12
pair_12_13,25,10,15,15,False,True,pair_12
pair_12_14,25,10,14,14,False,True,pair_12
pair_12_15,25,11,14,14,False,True,pair_12
pair_13_00,25,8,14,14,False,True,pair_13
pair_13_01,25,11,14,14,False,True,pair_13
pair_13_02,25,0,14,14,False,True,pair_13
pair_13_03,25,7,14,14,False,True,pair_13
pair_13_04,25,9,14,14,False,True,pair_13
pair_13_05,25,11,15,15,False,True,pair_13
pair_13_06,25,9,14,14,False,True,pair_13
pair_13_07,25,0,14,14,False,True,pair_13
pair_13_08,25,0,15,15,False,True,pair_13
pair_13_09,25,0,14,14,False,True,pair_13
pair_13_10,25,0,15,15,False,True,pair_13
pair_13_11,25,11,15,15,False,True,pair_13
pair_13_12,25,0,12,12,False,True,pair_13
pair_13_13,25,7,14,14,False,True,pair_13
pair_13_14,25,11,15,15,False,True,pair_13
pair_13_15,25,0,12,12,False,True,pair_13
pair_14_00,25,4,11,11,False,True,pair_14
pair_14_01,25,8,12,12,False,True,pair_14
pair_14_02,25,10,14,14,False,True,pair_14
pair_14_03,25,9,13,13,False,True,pair_14
pair_14_04,25,7,12,12,False,True,pair_14
pair_14_05,25,10,11,11,False,True,pair_14
pair_14_06,25,5,11,11,False,True,pair_14
pair_14_07,25,8,12,12,False,True,pair_14
pair_14_08,25,8,13,13,False,True,pair_14
pair_14_09,25,5,13,13,False,True,pair_14
pair_14_10,25,8,14,14,False,True,pair_14
pair_14_11,25,7,14,14,False,True,pair_14
pair_14_12,25,11,14,14,False,True,pair_14
pair_14_13,25,7,14,14,False,True,pair_14
pair_14_14,25,9,13,13,False,True,pair_14
pair_14_15,25,11,12,12,False,True,pair_14
pair_15_00,25,9,16,16,False,True,pair_15
pair_15_01,25,4,15,15,False,True,pair_15
pair_15_02,25,0,14,14,False,True,pair_15
pair_15_03,25,7,13,13,False,True,pair_15
pair_15_04,25,5,17,17,False,True,pair_15
pair_15_05,25,8,17,17,False,True,pair_15
pair_15_06,25,4,12,12,False,True,pair_15
pair_15_07,25,7,19,19,False,True,pair_15
pair_15_08,25,5,13,13,False,True,pair_15
pair_15_09,25,0,15,15,False,True,pair_15
pair_15_10,25,7,12,12,False,True,pair_15
pair_15_11,25,4,11,11,False,True,pair_15
pair_15_12,25,9,16,16,False,True,pair_15
pair_15_13,25,7,12,12,False,True,pair_15
pair_15_14,25,10,20,20,False,True,pair_15
pair_15_15,25,5,14,14,False,True,pair_15
pair_16_00,25,9,17,17,False,True,pair_16
pair_16_01,25,7,12,12,False,True,pair_16
pair_16_02,25,7,13,13,False,True,pair_16
pair_16_03,25,9,15,15,False,True,pair_16
pair_16_04,25,8,13,13,False,True,pair_16
pair_16_05,25,8,13,13,False,True,pair_16
pair_16_06,25,0,17,17,False,True,pair_16
pair_16_07,25,7,15,15,False,True,pair_16
pair_16_08,25,7,12,12,False,True,pair_16
pair_16_09,25,8,18,18,False,True,pair_16
pair_16_10,25,8,14,14,False,True,pair_16
pair_16_11,25,7,12,12,False,True,pair_16
pair_16_12,25,8,14,14,False,True,pair_16
pair_16_13,25,9,14,14,False,True,pair_16
pair_16_14,25,7,14,14,False,True,pair_16
pair_16_15,25,7,15,15,False,True,pair_16
pair_17_00,25,0,15,15,False,True,pair_17
pair_17_01,25,0,12,12,False,True,pair_17
pair_17_02,25,8,13,13,False,True,pair_17
pair_17_03,25,0,13,13,False,True,pair_17
pair_17_04,25,9,12,12,False,True,pair_17
pair_17_05,25,11,14,14,False,True,pair_17
pair_17_06,25,9,12,12,False,True,pair_17
pair_17_07,25,9,12,12,False,True,pair_17
pair_17_08,25,11,14,14,False,True,pair_17
pair_17_09,25,10,15,15,False,True,pair_17
pair_17_10,25,8,12,12,False,True,pair_17
pair_17_11,25,8,13,13,False,True,pair_17
pair_17_12,25,10,13,13,False,True,pair_17
pair_17_13,25,9,14,14,False,True,pair_17
pair_17_14,25,9,14,14,False,True,pair_17
pair_17_15,25,11,14,14,False,True,pair_17
pair_18_00,25,2,13,13,False,True,pair_18
pair_18_01,25,5,18,18,False,True,pair_18
pair_18_02,25,2,13,13,False,True,pair_18
pair_18_03,25,7,12,12,False,True,pair_18
pair_18_04,25,4,16,16,False,True,pair_18
pair_18_05,25,7,15,15,False,True,pair_18
pair_18_06,25,8,14,14,False,True,pair_18
pair_18_07,25,4,13,13,False,True,pair_18
pair_18_08,25,7,14,14,False,True,pair_18
pair_18_09,25,4,14,14,False,True,pair_18
pair_18_10,25,11,14,14,False,True,pair_18
pair_18_11,25,4,16,16,False,True,pair_18
pair_18_12,25,4,15,15,False,True,pair_18
pair_18_13,25,7,13,13,False,True,pair_18
pair_18_14,25,1,14,14,False,True,pair_18
pair_18_15,25,4,14,14,False,True,pair_18
pair_19_00,25,12,13,13,False,True,pair_19
pair_19_01,25,9,16,16,False,True,pair_19
pair_19_02,25,8,13,13,False,True,pair_19
pair_19_03,25,9,13,13,False,True,pair_19
pair_19_04,25,7,16,16,False,True,pair_19
pair_19_05,25,9,14,14,False,True,pair_19
pair_19_06,25,9,14,14,False,True,pair_19
pair_19_07,25,8,14,14,False,True,pair_19
pair_19_08,25,8,13,13,False,True,pair_19
pair_19_09,25,10,12,12,False,True,pair_19
pair_19_10,25,11,12,12,False,True,pair_19
pair_19_11,25,12,21,21,False,True,pair_19
pair_19_12,25,5,14,14,False,True,pair_19
pair_19_13,25,10,13,13,False,True,pair_19
pair_19_14,25,5,14,14,False,True,pair_19
pair_19_15,25,8,12,12,False,True,pair_19
pair_20_00,25,0,15,15,False,True,pair_20
pair_20_01,25,10,14,14,False,True,pair_20
pair_20_02,25,12,19,19,False,True,pair_20
pair_20_03,25,10,12,12,False,True,pair_20
pair_20_04,25,4,14,14,False,True,pair_20
pair_20_05,25,8,14,14,False,True,pair_20
pair_20_06,25,10,12,12,False,True,pair_20
pair_20_07,25,9,15,15,False,True,pair_20
pair_20_08,25,10,14,14,False,True,pair_20
pair_20_09,25,4,15,15,False,True,pair_20
pair_20_10,25,5,13,13,False,True,pair_20
pair_20_11,25,10,14,14,False,True,pair_20
pair_20_12,25,8,15,15,False,True,pair_20
pair_20_13,25,10,13,13,False,True,pair_20
pair_20_14,25,4,20,20,False,True,pair_20
pair_20_15,25,11,17,17,False,True,pair_20
pair_21_00,25,9,15,15,False,True,pair_21
pair_21_01,25,11,16,16,False,True,pair_21
pair_21_02,25,8,12,12,False,True,pair_21
pair_21_03,25,9,17,17,False,True,pair_21
pair_21_04,25,0,13,13,False,True,pair_21
pair_21_05,25,9,17,17,False,True,pair_21
pair_21_06,25,12,14,14,False,True,pair_21
pair_21_07,25,9,11,11,False,True,pair_21
pair_21_08,25,10,13,13,False,True,pair_21
pair_21_09,25,5,17,17,False,True,pair_21
pair_21_10,25,9,15,15,False,True,pair_21
pair_21_11,25,0,12,12,False,True,pair_21
pair_21_12,25,1,13,13,False,True,pair_21
pair_21_13,25,4,14,14,False,True,pair_21
pair_21_14,25,0,13,13,False,True,pair_21
pair_21_15,25,9,17,17,False,True,pair_21
pair_22_00,25,10,15,15,False,True,pair_22
pair_22_01,25,10,13,13,False,True,pair_22
pair_22_02,25,8,14,14,False,True,pair_22
pair_22_03,25,8,14,14,False,True,pair_22
pair_22_04,25,10,21,21,False,True,pair_22
pair_22_05,25,7,14,14,False,True,pair_22
pair_22_06,25,10,12,12,False,True,pair_22
pair_22_07,25,9,14,14,False,True,pair_22
pair_22_08,25,10,16,16,False,True,pair_22
pair_22_09,25,8,13,13,False,True,pair_22
pair_22_10,25,7,12,12,False,True,pair_22
pair_22_11,25,4,16,16,False,True,pair_22
pair_22_12,25,5,12,12,False,True,pair_22
pair_22_13,25,11,13,13,False,True,pair_22
pair_22_14,25,9,13,13,False,True,pair_22
pair_22_15,25,11,12,12,False,True,pair_22
pair_23_00,25,8,14,14,False,True,pair_23
pair_23_01,25,6,13,13,False,True,pair_23
pair_23_02,25,0,16,16,False,True,pair_23
pair_23_03,25,10,13,13,False,True,pair_23
pair_23_04,25,0,17,17,False,True,pair_23
pair_23_05,25,0,15,15,False,True,pair_23
pair_23_06,25,9,16,16,False,True,pair_23
pair_23_07,25,7,16,16,False,True,pair_23
pair_23_08,25,9,17,17,False,True,pair_23
pair_23_09,25,8,12,12,False,True,pair_23
pair_23_10,25,5,16,16,False,True,pair_23
pair_23_11,25,9,14,14,False,True,pair_23
pair_23_12,25,7,12,12,False,True,pair_23
pair_23_13,25,0,19,19,False,True,pair_23
pair_23_14,25,10,16,16,False,True,pair_23
pair_23_15,25,7,14,14,False,True,pair_23
pair_24_00,25,9,14,14,False,True,pair_24
pair_24_01,25,8,14,14,False,True,pair_24
pair_24_02,25,5,14,14,False,True,pair_24
pair_24_03,25,9,14,14,False,True,pair_24
pair_24_04,25,0,15,15,False,True,pair_24
pair_24_05,25,9,14,14,False,True,pair_24
pair_24_06,25,9,16,16,False,True,pair_24
pair_24_07,25,9,14,14,False,True,pair_24
pair_24_08,25,10,13,13,False,True,pair_24
pair_24_09,25,8,12,12,False,True,pair_24
pair_24_10,25,9,14,14,False,True,pair_24
pair_24_11,25,0,14,14,False,True,pair_24
pair_24_12,25,0,14,14,False,True,pair_24
pair_24_13,25,10,15,15,False,True,pair_24
pair_24_14,25,9,16,16,False,True,pair_24
pair_24_15,25,8,14,14,False,True,pair_24
